name,age,agecontract,ageoptout,optout,optoutyear,contractyr,contractvalue,contractlength,position,war1,war2,war3,war4,war5,war6,war7,war8,war9,war10,war11,war12,war13,war14,war15,war16
Felix Hernandez,29.355,26.355,0,0,0,2013,175,7,P,4.7,3.7,7.1,6,3.9,3.9,1.3,2.8,,,,,,,,
Jered Weaver,33.176,30.176,0,0,0,2013,85,5,P,4,7,5.4,3.4,2.4,2.7,4.8,,,,,,,,,
David Price,30.215,30.215,33.164,1,2019,2016,217,7,P,2.4,3.6,1.9,2.7,2.8,6.9,2.8,4.8,0.9,0.4,,,,,,
Clayton Kershaw,28.009,26.009,30.324,1,2019,2014,215,7,P,7.8,6.2,6.5,5.5,4.7,1.4,,,,,,,,,,
Johnny Cueto,30.042,30.042,31.356,1,2018,2016,130,6,P,3.7,6.4,1.4,5.9,3.7,2.2,0.9,1.5,,,,,,,,
Jon Lester,32.081,31.081,0,0,0,2015,155,6,P,1.9,2.7,3,0.7,4.4,5.2,6.3,6.1,0.9,1.6,,,,,,
R.A. Dickey,41.151,39.151,0,0,0,2014,25,2,P,2,5.8,3.6,3.6,0.5,0.1,-0.3,-0.3,0.1,0.7,0,,,,,
Jordan Zimmermann,29.31,29.31,0,0,0,2016,110,5,P,3.5,4.9,3.7,4.7,2.8,-0.2,0.7,,,,,,,,,
Doug Fister,32.053,32.053,0,0,0,2016,7,1,P,0.2,4.5,4.1,3.3,2.5,2.7,1.2,0.6,,,,,,,,
Hiroki Kuroda,41.047,39.047,0,0,0,2014,16,1,P,4.1,5.5,3.1,3.4,0.6,2.7,,,,,,,,,,
Anibal Sanchez,32.03,29.03,0,0,0,2013,88,5,P,1.2,1.2,3.8,3.2,1.7,-0.2,0.3,3.7,,,,,,,,
Mark Buehrle,37.005,33.005,0,0,0,2012,58,4,P,3.8,4,5.3,4.4,6.1,2.2,4.8,4.2,2.5,5,5.9,0.6,,,,
Roy Halladay,38.319,33.319,0,0,0,2011,60,3,P,8.3,6.9,6.2,3.5,5.2,5.5,2.4,8.1,7.4,3,-2.8,2.6,0.4,,,
CC Sabathia,35.251,28.251,31.2,1,2012,2009,161,7,P,4.9,1.9,6.3,4.6,1.8,3,3.7,3.2,2.9,,,,,,,
CC Sabathia,35.251,31.251,0,0,0,2012,122,5,P,3.5,7.5,4.6,6.2,4.9,1.9,6.3,4.6,1.8,3,3.7,3.2,2.9,,,
